x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030
70,0.562245,0,15.032621,0,0,0,0,2.5548003,5.036313,0,0,1.6811696,0,0.99834025,0,1.1694202,0.9841623,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,5.411109,0,0,0,0,0,2.693777,0,0,0,0.11299419,0,0,0.39234325,0,1.7487392,2.795216,0,0.9630451,0.051372122,1.3144281,0,1.3104843,0,1.1980276,0,0,0
72,0,0,8.463199,1.4402514,3.7165766,1.8709981,3.1250913,0,1.1737825,0.8844766,2.8353412,0,10.8753195,1.1843846,2.6203885,0,0,0,0,0,0,0,0,0,1.1987997,6.267079,2.349267,2.6743684,0,0.7566178,0
73,0.8874787,0,4.1694236,0,1.024245,2.6350715,0,0,4.934203,1.9942514,0,0,0,0.5438192,0,0,0,0,0,0,5.889184,0,0,3.2851195,0,1.9021467,0,0,0,0,3.8294106
74,0,0,0,3.857962,0,2.7986898,0,1.1956204,0,1.960497,0,4.6293273,0,2.2621872,8.19,0,3.2569475,2.616659,2.749657,0,0.17369358,0.17965525,0,0,0,0,1.1667473,0.9198219,0,4.2102823,2.9621968
75,0,2.1871316,0,0,2.745665,0,2.6992981,0,1.2666621,0,2.1502583,0,0.79349667,0,0,0.8839721,0,0,0,1.5721014,0,0,0,0,3.3326325,0,0.35261673,0,2.1950924,0,0.57867455
76,0,0.059214916,0,0,0,0,0,0,0,0,0.46227023,0,0,3.3172464,0.75953376,0,0,0,0,2.931856,1.0612825,0,0,0,0,0,0,0,1.5656892,0,0
77,0,0,0,0,0.35317823,2.7485883,0,0,1.3839571,0,0,0,2.5557458,0,3.1042526,1.6988657,0,0,0,0.4916083,0,2.7184107,3.6734397,1.0978837,0,0,0,0,0,0,0
78,0,0,5.8958874,0,3.9703796,3.957304,0.120099336,2.48805,0,0,0,0,0,0,0,5.6041446,2.3836427,2.9356194,0,0,6.639622,0.49869943,0,0,0.92453337,3.019118,0,5.2030153,0,0,0
79,0,3.59661,0,3.3284364,0.589191,0,0,0,0,0.3765477,4.058589,0,0,0,0.8505749,0.06459861,0,0.98981065,1.1866431,0,0.46384865,0,5.26717,3.8403506,2.028143,0,0,0,0,0,0
80,0,0,0,0,0.4201225,0.92999417,0.6830642,0,0,0,2.2022634,0,3.9465597,0,4.6765575,3.147548,0,0.5729908,0,0,0.4793333,0,0,0,0,0,0,0.9211525,0,0,3.493634
81,2.5880816,1.5946412,2.0979686,0.35623688,0,0.50434285,0.6809302,0,0,0,0,0.60918367,0,1.5992473,0,0,0,0,0,2.3215027,0,0,2.0104969,0,2.293724,0,2.7487714,0,0,0,0
82,0,0,1.2561414,0,2.338565,2.729052,0,1.2009563,4.0541906,0,0,1.7816833,0,2.3801575,0,0,0,3.9615512,0.72363436,0,0,0.80315703,0.2049954,0,0,0,0,0,0,0,0
83,0,0,0,3.740631,0,2.6415021,0,0.045296896,0.68027157,0,2.6324494,2.0520096,1.9466108,0.67557305,0.08654527,0,0,0.20297734,0,0.8424441,0.077495635,3.9859579,0,0,1.2340178,1.4547627,0,0,0,0,0
84,0,0,0,0.7687609,1.8986953,0.022942698,0,0,1.1404792,0,2.4162216,0,0,0,0.64312696,1.1916646,0,0,0.4780578,0,3.0090418,0,0,2.3262713,0,0.12750171,0.7077344,2.5603492,0,0,2.7501059
85,1.2602392,4.7654133,0,0,0,0,3.1008365,0,0,0.7487778,0,0.17070791,0,4.449055,0,0,3.2827003,0,0.57214123,0,0,0,4.643772,0,0,0,0,0,7.759775,0.9629935,0
86,1.2334751,0,0,0,0.16832666,0,1.3911301,0,0,3.319658,0,0.060973972,0,0,0,0,1.1321983,1.4920075,0,0,0,0,0,0,0,1.2956002,0,0,4.9354725,0,0
87,0,0,15.274313,0.5345777,0,0,0,5.170931,0.41652492,0,0,2.4613776,0,0.6917653,0,2.5552962,1.8966614,2.1580572,0,1.7413105,0.51792145,2.8131695,0,0.1860987,0,0,0,3.7567832,0,3.8980951,0
88,0,0,0,2.9510026,0.14492176,0,0,0,1.6656299,0,0,0,2.6089554,4.1580734,2.8610966,0.0929509,0,0.30031788,0,2.4083834,0,0,0,5.958036,1.3882873,0,1.1861447,0,0,0,0
89,0,0.2889925,0,0,0.22283946,4.1294575,0,4.4595675,0,0,0,0.8246467,0,1.2740825,1.4962275,0.16578835,0,0.2377172,0,0,0,2.7917397,0,0,0,0,0,0,0,0,0
