x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
975,0.4618155,0,0.01254992,2.0011518,0.820954,0,0,0,0,0,0,0,0,0,0,10.177912,1.0138136,0,1.2437488,0,5.350992,1.2774011,0,0,0,0,0.68125474,0,0,0,0,0,0,0,0,0,0.97392476,0,0,1.6657978,9.202266,0,6.3089476,0.09044823,0,0,0,0,0,0,1.21674
976,0.13243803,1.363848,1.751528,0,0.23711231,0,4.796892,0.12794004,0,0.12357057,0,0,0,5.4316225,0.23977092,0.4323011,0,2.156442,0,0,0,0.6645979,1.9583161,4.0143747,0,1.6141174,0.6925597,0.9148864,0.22016653,0,0.43580648,0,2.9106464,0,0.48626414,2.3923438,0.23542851,0,0,0,0,0,0,1.3052475,0,0,2.4834096,0.47215688,0,0,0
977,0,0.3167666,2.013116,1.665126,0,0.10637064,0,0,0,0.4524537,0,1.6153779,0,0,1.733575,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7204547,0,0,0,0.7988482,2.2487423,0.24455523,0,0.06960425,2.6078525,0,0.62949276,0.39575374,0,0,0,0,0.2055619,0,0,0,0,0
978,0,0,0.36232454,0,0.76456684,1.6291513,0,0,0,0,4.738014,0,0,0.60399306,0,0,3.8296828,3.034876,0,2.677139,0.5549681,0.7202698,0,2.0905602,2.9169989,0,0.28408918,0,0,0,0.8828247,1.7235379,0,0,0,0,1.897351,0.29431954,0,3.3899496,0,0.72765666,8.051437,0,0.14557655,0,0.03323646,0,0,0,0
979,0,0,0,0,0,0,0,0.22377886,2.0031967,0.49724054,5.564636,0,0,3.683551,0,3.0166516,3.1985474,4.164895,0.9404233,2.0546978,5.327717,0,0.49947777,0,0,0,0,10.13048,0,1.773825,0,0,0,0,0,0,0,0,0.9499788,10.369715,9.080813,1.5476576,0,3.135249,0,0,0,0,0,2.8515027,0
980,0,0,0,0,0,4.438004,6.7740035,0,0,0,0,0.612053,2.5265243,10.973708,0,0,2.0897787,1.6107935,0,0,12.627699,0.93919873,1.8929727,5.9250326,0.3828541,0,0,0,0,3.2313387,0.87283915,0,0,0.15766053,0,0,0.9304063,0,0,0,3.507288,0.3056358,0,0,1.3477536,1.2672328,0,7.20241,1.0516437,0,0
981,0,0,0,0,1.0932548,0,0,0,3.4128447,0,0,0,0,0,0,0,9.082103,0,1.1262792,0,0,0,1.4166949,1.1185763,0.65220165,0,0,0,1.7337834,0,0,1.5370731,2.3862004,0,0,1.312558,0.70278144,1.7915844,0,1.8171877,0,1.5583217,3.4196997,0.037698887,0.026525967,0,2.9140894,0,0,0,0.37985134
982,0,2.1121724,0,0,0,0.6368713,0,6.6623325,0.40757772,1.1439055,0,0,0,7.285159,2.169912,0,0,0,0,0,0,0.43340713,0,0,0,2.3009717,0.4136805,0,0,0,0,0,5.146488,0,9.236801,0.76961994,0,0.651609,0.15318958,0,1.8160136,0,0,0,1.609462,0,0,0,0,1.2012113,0
983,1.9602507,0,0,4.368969,0.8937874,0.9935089,19.018806,1.1242702,0,0,3.5089767,0,5.558723,0,0,2.8178897,0,0.86824983,0,2.187842,0,0,0,0,0,0,0,0,1.6413183,0,0,0,0,0.5570554,0,0,0.6783606,0,1.6085744,0,5.1716137,0,0,0.15321116,0,0,0.28219584,0,0.25390342,0,0
984,0,0,1.1062449,0.761942,0.41660503,2.1514285,0,0,0,0.69051874,0,0,0,0,0.9605691,1.9476793,0.10209093,1.0325545,0,0.22760631,6.1816835,0.72234315,0.7605072,0,0.72003794,0,0,3.3085234,0,4.7873077,0.85090697,1.5647937,0,2.9833732,0,0,0,0,0,0.048758823,0,0.53944916,0,0.42409205,0,0,0,0,0,1.2945368,1.2778633
985,0,0,0.5470664,0,0,0.3221358,0,0,2.3843746,1.3381203,0,0.7668405,0,0,0,0,0,0,0,0,0,0.59915483,0.7009573,0,1.2004509,0,0.708882,0,0,0,0,0,0,0.61544424,1.6723217,0.3084752,0.758946,0.84732085,0.5600953,0.16088425,0,1.1624738,7.1108875,0.3281883,0,0,0,5.7276764,0,0,0
986,0.6280576,0,0,0,0.81638145,0,0,0,0.72569126,0,0,0,0,0,0,8.663429,1.4867821,6.317449,0,0,0,0.37294534,0,4.881764,0.3800142,3.9749353,0,0.48739403,2.2488232,0.45378014,0,2.489357,2.4754405,3.359076,1.2600914,0,1.0644363,2.0206892,3.028837,0.09557775,11.56908,0,0,0,0,0,0,2.2899177,0,0,0
987,0.58957237,0,0,0,0,0,9.481937,0.23988605,0.1887771,0,0.20097315,1.4833708,0,0,4.967412,0,0.282902,4.250641,0,0,0,0,2.3992171,3.385795,0,0,0,4.0085344,0.6619701,4.44711,0,0,5.1301074,0.53088474,0,0,0.7664559,0.0960847,3.0611956,0,0,0.4289588,0,2.7511876,0,0,0,0.17921858,4.789433,0,0
