x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024
114,0,0.27798963,0,0,0,0,0.97831607,0,0,0,0,0,0.02730789,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0.36079973,1.5268862,2.121177,0,0.9935012,0,0,0,0,0,0,1.2772609,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0.42971677,0,0,0,0.15899195,0,0,0.29482514,0,0,0,0.20408072,0,0,0,0,0,0,0,0.57577026,0,0,0
117,0,0.7515035,0,0,0,0.86593175,0,1.8616942,1.3573185,0,0,0,0,0,0,0,0,0,0,0,0,2.1234312,4.392742,0.7441944,0
118,1.6426606,1.0889937,0,1.1801295,0,0.7413683,0,0,0,0.29084587,0.053406686,0,0,1.2227913,0.7581326,0,0,1.4463693,3.3758004,0.9548119,0,0.13505559,0.5745488,0.08616519,0.5511225
119,0,0,0,0,2.1862466,0,0.16173917,0.41914198,0,0,0,0.4478911,1.1924158,0,2.0792701,0,0.9183384,0,0,0.54712826,0,0,0.16461155,0,0
120,0.33670625,0.5743805,0.9244815,0.17519133,0,0,0,0,0.64475113,0.27356222,0,1.1656137,0.18156752,0,1.4446592,0,0,8.9370985,0,0,1.4838693,0,0,2.4292374,1.9679495
121,0,0.16824123,0,0,0.11484596,0.5333141,0,0.59043187,0,0,0,0.5348977,0,1.4255073,0,0,0,0.7160917,0.77510935,0,0.5353857,0,2.4659574,0.3750937,0
122,0.28564253,0,0,0,1.0416484,0,0,0,0,0,1.986402,0,0.53151995,0,0.44790196,0,1.1529822,0,2.328243,0.8044341,0,0,0,0,0
123,0.05890327,0.38399634,0.2973222,0,0,0,0.572566,0.97116625,0,0.26455575,0.79517084,0,0,0.18678193,0,0.3286387,0.32611543,4.3175507,0,0,2.3465106,1.5076101,2.141715,0.44215357,0
124,0,0,1.0318422,0,0,0,1.3042898,1.1927135,0,0,0.3755466,0.4884148,0,0.22007433,0,0,0,0,0.64602023,0.8849963,1.6113191,0,0,0,0
125,0,0.0855502,0,0,1.9605988,0,0.2557879,0,0,1.1372586,1.653505,1.7823884,0.35385838,0,0.123150215,0,0.86464536,0,6.480874,1.3357615,0,0,0,0.7965986,0.52452284
126,0,0.016354818,0.41737127,0,0,0.5918054,0,0,0,0,0,2.2399125,0,0,2.3730173,1.6076415,0.10943683,0.32910302,1.8831362,0,0,0.28455395,2.095434,0,0.29453093
127,1.0556515,0,0,0,0,0,0,1.0446739,1.0049759,0,0,1.0604242,1.0476338,1.1272566,1.8764412,0.42951098,0,1.5700096,0,0.07105546,0,0,0,0,0
128,0.5069098,0,0,0.55633694,2.5114625,0,0,0,0.60065264,0,0.43498972,0,0.44333887,0,0,0,0.2650099,0,0,0,0.5154181,1.3638448,2.1596918,1.4656446,0
129,0,0.9976952,0,0,0.8512253,0,0.89169794,0,1.0465319,1.188,0.025086692,0,0,0.5621246,0,0,0,0,0.22091267,0.7566642,2.0757716,0,1.8343447,0,4.0193257
130,1.505586,0,0,0,0,1.4646355,0,0,0,0.012063123,0,0.79271954,0,0.19621532,0,3.6658468,0,0,0,0,0,2.6197593,0,0,0
131,0,0,1.252116,1.1419516,0,0,0,0,0,0,0.62038475,0,0,0,0.13118014,0,0,0,0,0,1.7441688,0,0,0,0
132,0,0,1.1543634,0.015055702,0,0.5078469,0,0.11261531,0,0,0,0,0,0,0,0.059711188,0,0,1.8139341,0,1.9300567,0,0,0,1.794905
133,0,0.19930425,0.3174509,0,0,1.7672516,0,1.845592,0,0,0.10934749,0,0,0,0.7509983,0,0.8618555,5.3173475,0,0,0,0,5.0313272,0,0
134,0,0,0,1.7069799,0,2.9860148,0,2.5707855,0.23303427,0,0,0.9446043,0.06081835,0,0,0,0,1.2356216,0,0,2.441244,1.0480669,0,2.3905275,0
135,0,0.19086431,0.76362556,0,0.058932748,0,0,0,0,0,1.7408725,0.074055396,0,1.115253,0,0.66226095,0,2.146715,0,1.8077365,0,0,0,0.1309709,3.733274
