x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021
144,0.21697745,0,0,0,0,3.9096255,0,1.3060349,0,0,0.9030347,0,0.7198466,0.65110916,0,1.132965,5.1480403,0,6.3042784,0,0,0
145,0.8527191,1.2054665,0.3052193,5.273953,2.7924836,0,0,0,0.18031296,0,0,0.8694117,0.34362477,0.18829937,10.947839,0,0,0,0,0,0,0
146,0,0,0.30612907,0,0,2.2303705,0,0.76531017,0.2828776,1.4956251,0.31878293,0,2.7694092,1.0927042,0,0,0,1.4362298,0,5.3430357,0,0.34331316
147,0,0,1.4637858,0,0,0,0,0,0.43529612,1.9804075,0,0,0,0,0,0.21717179,0,0,0,0,0,0
148,0,0,6.3104067,0.19815704,0.102579534,0.38406512,0,0,0,0,0,0,0,0.13796954,0,0,0,0,0,0,0,0.33945295
149,0.21796559,0,0.22116101,0.57493126,2.3080966,0,1.8516009,2.7871943,0,0,1.4023491,0,0,0,4.4337497,0,0,0,3.7594733,0,6.545753,0.032671783
150,0.060811006,0.68725395,4.2806983,4.7696815,0,1.4933287,1.163752,0,0,1.0117416,0,3.6210706,0,1.5873252,0,2.8609984,0,1.2269275,0,0.12186365,0,0
151,0,0,0,0,0.7562936,0,0,0,0,0,1.5859121,2.1159043,0,0,3.435431,0,0,0,0,2.9496248,2.421388,1.1561514
152,0,0,6.446937,0,0,0,1.4256274,0.29817617,0,0,0.58643866,0,4.1449695,0,1.019281,1.2951217,0,0,9.74771,0,2.9317772,0.19189578
153,0,0,0,0,0,1.5973278,0,0,0,0,0.001045209,0,0.11704596,0.18240446,0,0.67283267,0.338092,0,0,0,0,0.6514818
154,0.5575832,0,0,0,0,0,0,0,0,0,0,0,0.35167992,0.43730733,0,0,2.0633252,0,0,2.2551215,0,0.18030117
155,0.5903441,0.36936358,3.4203472,0,0.503668,0,2.1652718,1.9445248,0,0,0.8836831,0,0,2.2859883,0,0,3.1830394,0,0,0.8806053,0,0
156,0,0.40198725,0,0,0.15237145,0,0,0.6480778,0,0,0,1.6974611,0.5354807,0.27153397,4.5070047,1.508477,0,0,3.596797,2.423892,4.2215524,0.48687366
157,0,2.1428165,0.04698092,0,0,0,0,1.3984637,0,0,0.41194493,2.9946713,0,0,0,1.9811667,5.07134,0.16879056,0,2.2227542,0,0
158,0,0,6.224806,0,1.840437,0,0,0.30560467,0,0,0,0,0,0,4.0497737,0,0,0.34411132,0,0,0,0.38906276
159,0,0,0,0.7979137,0,4.721654,0,0,1.302379,2.359051,0,0.048863526,0,0,0.84350646,0.30263662,0,0,0.839365,0.35258582,1.2056117,0
160,0.27489167,0.02204201,0,0,1.4387257,0,2.2696297,3.4540422,1.6058011,0,0,2.4141204,0,1.1355666,0,0,0,2.251008,0,0,0,0
161,0,5.1102242,0,0,0,1.7717085,0,0,0,0.9256402,0,0,0,0.538326,0.9130065,0.09446832,0,2.951602,0,0,0,1.2201604
162,0,0,0,0,2.3178432,0,1.9361867,0.35930923,4.015883,0,0.17368981,1.9384851,0.7708691,0.042314067,1.1633408,0,0,0,0,4.3566895,0.9583688,0
163,0,0,0,0,0,1.5437503,0,0,0.08039777,0.18362208,0,1.2006015,1.0087082,0,0,0,0,0,0,8.455115,1.9004958,0
164,0.05506663,0,0.9364312,2.8793998,0,1.935493,0,0,0,0,0,0,0,0.49648702,4.9492116,0,0,0,0,0.2549017,0,0
165,0.31289342,0,0,2.227977,0,0.10299796,0,0,0,0,0.32376978,0,0,0,0,0,0,0,0,0,0,0.3201229
166,0,0,0,0,0,0,0,0,0,0,0,0.88751477,0,0,1.2730538,0,0,0,1.2727604,0,0,1.3987776
167,0,0,2.3305058,2.015837,0,0,0,0,1.0213968,0,0,0,0,0,0,0.78857195,0,0,0,0,0,0
168,0,0,3.9769895,0,0,0,0,0,3.3632264,0.047513258,1.2658244,6.6541247,2.891579,1.9520211,0,1.0691537,2.0839043,3.0577643,0,0,0.9677799,0
169,0,0,0,0,0,0,0,0,0,1.1631714,0.6012601,0,0.98764044,0.20774922,0,0.3336297,0,3.2617958,5.354034,0,0,0.8774312
170,0.3989502,3.1591814,0,0.68714386,0,10.449386,1.678256,0.7023837,0,0,0,2.6365843,0,0.6204823,0,0.9287303,1.1286216,3.3831708,1.4946481,0.8666909,1.2029338,0
171,0,0,1.1038922,0,0,0,0,0,2.0549715,0.6177531,0.46057567,2.7791514,4.850232,0,3.3485253,0,0,0,0.99211484,8.253654,0,0.1599577
