x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023
135,1.2768391,0,0,0,2.5612497,0,0,0,0,0,0,0,0,4.1530313,0.25815648,0,1.0031756,0,2.607131,0,0,0.55999964,4.1583624,7.296655
136,2.2283328,0,6.5659075,0,1.4748623,5.1254144,0,0,0,0,0,0,1.1787322,0,0,4.8028407,4.2180977,3.4740114,0,0,3.537206,4.8926473,0,0.8342307
137,3.3870077,0,0,3.8621035,3.6989367,1.8794038,0,0.37625414,4.099655,5.908617,0,0,0,5.7808747,0,0,0,0,0.33427018,0.46001184,0,2.7093198,5.2515063,22.643639
138,0,4.3727336,7.1261263,0,0,0,0,3.287437,0.78316766,0,0,0.46303812,6.7547145,0,0.4480053,0,0,0,1.9197425,0,0,0,0,0
139,0,13.062847,0,0,0,1.6769505,0.9317,0,0.25152054,0,0,0,0,0,0,0,0,0,0.18307924,0,0,0,5.148339,0
140,0,0,0,0,1.0534645,0,0,0,0,0,0,0,0,2.672684,0.08354873,0.7064488,0,0.3936106,0,0.5635699,3.3283117,0,0.73134506,0
141,3.230139,0,0,3.6947546,4.94589,0.4469024,0,0.28270027,0,1.92233,5.432761,1.3450127,0,0,0.09503956,0,1.1831839,0,1.2266736,2.777168,1.7684939,0,3.5547068,3.080171
142,5.3770776,0,0.79796296,0,0,0.5100047,0.7665342,0,3.7823043,0,0.7104785,0.3612268,1.8965962,0,0.79967725,0,4.5226307,0,0.27646554,0,0.7812164,0,2.4295936,15.151392
143,0,0,0,0.2835819,0,1.8655124,0,0.16104288,2.4779446,0,0.16873473,4.224827,1.237335,0,0,2.0595777,0,4.251767,0.33041552,3.5544753,0,0,3.9177861,1.7556369
144,0,0,0,5.7334228,0,0,0,0.9374322,0,2.8141134,0,4.5327044,5.708798,0,0.79984653,1.4865199,0,0,0,0,0,0,6.2895203,0
145,0,5.6529503,0,0,0,0,0,0,0.5707882,1.0661101,0.55372804,0,0,0,0,0,0,0,3.3285675,0.21048386,1.0366488,0,0,2.5039732
146,0.59378713,0,0,2.5806115,0,0,1.3189934,0,0,0,0,0,0,1.8083405,7.4073615,0,0,0,0,0,0,0.7204202,1.8653725,0
147,0,1.0796753,1.5058584,0,0,0,0.799807,0,0,0.262431,1.8024391,0,0,2.9088204,3.1674619,0,0,1.6149997,0,0,0,3.9185164,8.278507,5.6777606
148,0,0,0,0,0,3.220466,2.9761183,0,0.9222507,0,0,0,2.9252813,0.545673,0,5.4841666,2.873296,0,3.8632479,0,0,0,0.22430639,11.840862
149,0,11.942071,0,0,0,1.8851228,0,0,0,0,0,0,2.1260958,0,0,0,0.29636624,1.3154474,0,5.9933558,0.25064415,0,0,2.7979882
150,0,3.8927639,0,5.2877812,0,0,0.017213995,0,0,0,0,0,0,1.8992904,7.772102,0,0.46442127,0,0.275366,0,1.6720448,0,0,14.3535795
151,0,0,0,0,0,0,0,0,0,0,0,0,2.1111085,0,0,0,0,0,0,0,0,2.5638056,0,6.2331038
152,0,0,0,0,0,0,0,0,0,0,0,4.267403,0,0,0,0,0,0,0,0,0,3.2820172,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2726769,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,4.8836384,0.6916299,0,1.4821584,9.677314,9.360773,0,0,0,0,0,0,4.20778,0,1.3754706,0,0,35.86945
155,6.718482,0,6.286604,2.3274815,0.8881223,0,0,0.37883496,1.1860856,0,0,9.342187,3.5883727,1.4023273,0,0,0,0,3.5615091,0,0,0,5.5445657,45.773304
156,0,0,2.4219453,0,0,0,1.5255966,1.4147942,10.8526535,0,2.1735191,4.6946836,0.7421321,0,0,0,0,0,0.17584024,0,0,0,0,30.20154
