x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049
893,0,0,3.4845426,1.8048617,0,0,0,0,4.034906,0,5.0700636,0,0.5604041,1.2527299,0,0,0.744191,2.820563,0,0,0,0,1.3845793,0,0,0,2.9204736,1.1091272,0.028275933,1.8417987,0,1.6315215,0,0,0,0,0.321808,5.2604237,6.2054634,0,0,0,0,0,0,1.6509523,0,0,0,0
894,4.119107,2.4119732,0,0,0,2.0572267,0,0,0,0,0,0,0,4.897791,2.054711,2.1856136,5.234619,2.4701004,0,0,1.2582183,0,2.630984,2.7964523,1.3850187,1.1025865,12.71821,4.5023327,0,1.1396998,1.1849065,1.3466922,5.430725,0,0.2637337,0,0,0.041781534,0,0,0,0,0,3.4525974,4.493991,1.382542,0,0,6.649242,1.1864438
895,0,0,0,0,5.6073875,0,0,1.9783615,0,0,0,0,0,10.037461,2.191368,3.0195322,0,0,0,0,2.9131522,5.156063,0,0,0,0,3.9151754,0.09362086,1.2739291,2.6834376,1.3618925,0,0,0,0,4.809555,0,0,0.7298321,0,0.4369372,4.7486844,2.2338593,0,0,0.66830003,4.9095964,0,0,0
896,0,0,0,1.4284903,0,2.1679435,0.05315999,4.2993436,0,0,4.6626353,0,0,1.9151691,1.2311535,8.496505,0,0.06821938,0,1.4652776,0,4.720728,0,0,3.041401,0,0,1.4781618,0,0,0,0,3.799309,7.9741783,0.18092693,0,1.4493946,0.30019668,2.4969862,0,3.6996846,0,0,0,0,0.5400717,6.5799966,0,4.539558,0
897,0,0,1.8096242,2.177568,0,0,0,0,1.5672948,0,0,1.728755,0,3.423594,1.2776928,0,2.738668,1.0456144,0.91160405,1.564948,0,1.3930147,0,0,0,1.8029466,4.2614617,0,0,2.9799974,0,0,0,0,0,0,6.01913,3.429426,0,0,0,0,0,0,0,1.2947294,11.347983,1.6652677,0,0
898,0,0.7507551,3.1243145,0,0,4.7207227,0,0.19498016,1.6821861,0,0,0,0,1.9119318,1.7528436,1.0866808,2.3500004,0.965919,5.2192483,0,4.0928464,0,0,1.6662283,6.868752,2.3538775,1.4741392,0,0,0,0,3.722405,3.4115868,0,0,0,2.2740533,0,4.851433,1.9527496,0.014053518,2.3398008,0,0,2.9024374,0.2696216,2.2811217,1.4282919,0,0
899,0,0,0,0,0,0,0,1.7540427,5.400956,0,0,0,0.28611803,0,1.7916178,0,8.122319,0.24263076,0,0,4.9096622,0,0,0.30285165,0.25147107,0.2797572,9.451364,0,0,0,0,0.36017695,0,4.388444,0,0,0.30493408,0,0.44431314,0.5282303,0,9.5363655,4.045321,3.1668527,0,0,1.8719143,0.22797443,6.154089,0.7397605
900,0,2.2398543,0,3.0132618,0,1.6848899,0.26217592,0,1.7607763,0.615026,5.0480394,2.8352745,0,7.6574445,1.190873,3.6822183,0,0,0.90866107,0,4.641126,0,4.1123934,0,2.8801782,1.288124,0.8435492,0,0,2.760992,0.8907198,0,5.557259,4.6104245,0.5519618,6.5181665,0,0,5.4502373,0,0,0,0.9974136,0,0,0,0,0.05598518,0,0
901,0.8090378,0,0.038343586,0,0,1.6664851,0,2.956604,0,0,0,1.4609499,0,2.55901,1.4824921,0,0,4.179334,2.997378,0,11.451154,0,5.486061,0,0,0,0,0,0,2.8990047,1.6718037,1.4297649,3.376093,1.4774407,0.02372645,0,1.7712044,3.939673,1.8611286,0,0,0,1.2373953,1.5440782,2.4469745,3.1705568,4.509283,0.48631385,3.9284832,1.7056477
902,0.32933438,0.6019997,0.4416918,0,8.725069,0,0,1.0476428,0,0,0,2.0938075,0,0,2.5420616,1.0095363,0.5913913,0.9151965,0.2739695,0,0,7.9042315,0,3.4334702,1.4304475,0,1.2113224,0,0.2091035,0.73580885,0,0,0,0,0,0,6.74225,1.6741741,0,0,0,0,3.0629625,14.366995,0,3.4605374,2.571432,1.4887643,0,0
