x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035
83,0,0,3.674751,2.320818,5.6951942,0,1.9887252,3.903721,0.29290637,0.4507089,0,0,0,0,0,0,8.47735,0,0,5.1545935,0,3.090747,0,0,0.79858565,0,0.95798945,0,0,0.24403493,0.018685173,6.133264,0,4.860525,4.0003405,0
84,0,1.8876796,0,0,0,0.79214495,2.1261535,0,1.5034829,0,0,3.5111325,0,1.3768721,0,0,8.147213,0,0,2.340526,0,10.378598,7.4037795,0,0,0,0,0,1.532945,0,0,0,1.2561953,0,0,0.60635585
85,0,0,0.63710827,0,8.489632,0.011941121,6.796002,0,0,0.47560298,3.1251922,0.71475124,0,0,0,0,0,0,1.588219,0,0.30970353,0,0,0.10954738,1.8075571,0,0,1.6187477,1.5495976,1.0434874,2.7490482,0,0,0,0.7484343,0
86,0,0,0.5172954,0.51299757,3.7009592,0.17924495,0,2.397936,0,0,0,0,0.15559423,0,0,0,1.8738793,0,0,2.6078577,0.4154017,0,0,0.122838795,0,1.2781811,0,0,0,0,0,0,0,0,0.35265067,0
87,0,1.0255773,1.6682214,0.21533598,0,0,0,0.24228123,0,0.48968777,0,0,0.6941261,0,2.4359438,4.866973,8.449256,0,1.0998913,0.3084469,0.12898122,0,4.8336134,0,0,0,0,0,0,0,0,0,0,0,0,0
88,4.980326,3.7664738,1.5359079,6.4432025,0,0,1.4957589,1.8225121,0,7.0373573,0,2.579933,2.5320363,0,0,0,0.5207777,0,0,1.273524,0,20.756666,5.24726,0,0,0,0,0,0,3.0246813,0,13.096571,0,1.4667833,0.5034601,0
89,11.288915,0,0,1.6344488,0,0.061210476,0,0,0,0,0,0,0,0,0,3.4860868,0,0,1.3948146,0,1.2716707,0,0,0,0,0,0,0.6067256,2.9989004,0,0.8992684,0,0,4.7028055,0.9231841,0
90,0,2.7093332,0,0,3.6183734,0,0,0,3.2717822,0,0,2.615529,0,0,0,0.7454331,0.25916028,0,1.4880375,0,0,0,0,2.9212165,1.2500694,4.154766,2.5780556,2.0488963,0,0,0,2.0136797,0,0,0.02020149,0
91,0,0,0.6182301,0,0,0,2.374405,0,1.5750605,0,1.0091327,0.37654144,0.25889942,0,0,0,0,0.6569759,0.072424315,1.1231539,1.3865001,2.2230153,0,5.7677217,0,0.006136339,0,0,0,1.5959544,0.36138728,3.2805505,0.26344937,0.6036896,0,0
92,2.406492,0,0,0,6.2299795,0.4453481,0,0,0,0,0,0,1.0230913,5.95957,4.4937534,0,0,0,0,2.5384622,0.3076325,0,5.0995674,1.733007,0.5462256,0,0,0,1.4199961,0.1720844,0,4.447798,0,2.0323453,0,0.15916619
