x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032
99,0,0,0.39411703,0.3053205,0.21266088,0.17321578,0,0.68358606,0,1.7380368,0,0.7616491,0.4117269,0,0,0.8730198,0,1.196712,0,0.08555048,0,0,0.5541563,0,0,0.14182433,0,0,0,0,0,0.30657938,0.7014349
100,0,0,0,0,0,1.2104236,0,0.96693134,0,0.0521372,0,0.04202279,0,0.20546554,0,0.936842,0.40221122,2.7299004,0.3733874,0,0,0.09113473,0.7205939,0,0,0.41511124,0,1.4950199,2.3902035,0.2082734,0.2465628,0,0
101,0,0,0,0.071476705,0,0.40829366,0.6127102,0,0,0.7348689,0,1.4667803,0,0,0,0,0.93040097,0,0,0,2.9341762,0,0,0,0,0,0.9894482,0.08833268,0,0,0,3.1203372,0.65254843
102,0,0.12948997,0,0,0,0,0,0.5106332,0,0.40435255,0,0,0,0,0.86479723,0,0,3.8884926,1.2212079,1.3592805,0,0,0,0,0,0,1.0198114,0.61026084,0,0,0,0,0
103,0.21371843,3.0979302,0.3764626,0,0.16052003,0,0,0,1.9472644,2.3468008,0,0,0,0,0,2.224478,0,0,0.05324558,0,0,1.5547916,0.16479468,0,0.42213684,0,0.37433293,0,0,0,2.1675162,1.2858752,0.022906667
104,0.3230481,0,0.9934622,2.5958874,0,0,0,0,0,0.5162926,0,0.41322035,1.4505532,0.45601845,0,0.5068636,0,0,2.7968602,0.7184505,0,0.047319327,0,0,0,0,0.20598152,0,0.5630701,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0.56378096,0,1.4794917,0.68268967,0.2707887,0,3.1835558,0,0,0,0.7858418,0,0,0.28940162,0.81082124,0.7498644,0,1.6132638,0.75175965,0,0,0,0
106,0,0,0,0,1.3062729,0.9355865,0.87153786,0,0.6570484,0,0,0,0,0,0,0.651621,0,0,0,0,0,0,0,0.5352547,0,0,0,0.043554924,0.108344756,1.1053444,0,0.90724313,0
107,1.246246,0.52998894,0.75382864,0,0,0,0.081521876,0,0.040837314,0,0,0,0,0,1.4786018,0,0,0,0,0.023009257,0,0.03185175,0,0,0.05036633,1.8135809,0.8414317,0.023716455,0.5977857,0,0,4.132597,0
108,0.9627377,0,0,0,0.24783969,0,1.2452614,0,0,0,0.9767364,0,1.470548,0,0.3308652,0.57819754,0,0.2009138,0,0.5336752,0,0.26824242,0.6183875,0,1.5305345,0,2.755522,1.7765641,0,0.4633288,0.8830415,0,1.0110093
109,0,3.423454,0.31279266,0.29353324,0,0.31618416,1.7957026,0,2.318014,0,0,2.020058,0.921907,0.034531366,0.16079783,0,0,0.8157512,0,0,0,1.7885839,0,1.9681154,0,0,0,0,1.49667,0,1.3792177,0,0
110,1.1503704,0,0,2.866169,0.653623,2.9103308,0,0,0.58088267,1.5047799,1.2560781,0,0,0,0,2.5226307,1.2763852,0,0,0.09811671,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,7.1808844,0,0,1.1391865,0.9892669,0,0.58805925,0,0,0.35969287,0,0.42919916,0,0.114776,0,0,0,0.97410315,0,0,0.5378515,0,0,0,0.5235891,0,0,0,0.6656072,0,0,0
112,0,0,0.5810746,0,0,0,0.6451467,0,0,0,0,0.20724657,0,0,0,0,0,0.27409354,0,0,0,0,0,0,0,0.41845018,0.67294306,0,0.14789912,0,0.11778545,0.7533053,0.27303386
