x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022
145,0,0,0.11792453,0,0.19570276,0.9967839,1.1965594,1.0653083,0,0,0,0,0,0,0,0.7755923,0.29375228,2.2745142,0,0,3.5949183,0.24545877,0
146,0,0,0,0,4.242643,0.5087875,0,0,0,0.28461462,0,0,0,0.46109477,1.7877318,0,0,0,0.8151794,0,3.9824736,1.6838444,0.3966285
147,0,0.14513333,0.5411009,0,0,0,0.4427478,0.734465,0,2.7887132,0,2.7218354,0.361593,0,4.321884,0,0,0,7.6142955,0,0,0,0
148,0,1.1570237,0,0,1.0094202,0,0.52248806,0,0.5851537,0,1.5162952,0.35200673,0,0.85446876,0,0,0.6519763,0,0.16752946,1.6569121,0,0.35595456,0
149,0,0,0,0,0,0,0,0,1.2611552,2.7879755,0,0,0,0.066263564,0,0.04495197,0,0,0,0,3.5759592,0.37845144,0
150,0.724085,0,0,0,0,0,0,0,2.2090988,0,0.20224626,0,0,0,1.4512182,0,0,0,0,0.4748911,0,0.25888297,0
151,0,0,0,0,0,1.4761927,3.0384781,0.33593106,0,0.27633208,0.8025984,0,0.48102722,0.92045957,0.31344932,0,0.37072033,0,0,0.39070165,0,0,3.241685
152,0.06386159,0,0,0,0,0,0,1.5871559,1.4641446,0.40644103,0.23099372,0,1.0350032,0,1.2472662,0.27417275,0,0,0,0,0,0,0
153,1.3902519,0.089808516,0,0,0,0,0,1.2151563,0,1.498644,0.48530024,1.4822457,0,0.70958745,0,0.005858209,0,0,1.3256496,0,0,1.9502255,0
154,8.115712,0,0.1697875,0,0,0.17990847,0.6327678,0,3.854844,0,0,0,1.6913308,0,0,0.01496989,0,0,9.744595,1.2608411,2.6507978,1.7913028,0
155,0,0.24621357,0,2.8183584,0.4354198,2.9200826,0,0,0,0,0,1.7063853,0,0,4.016629,0,0.8590887,0,1.5572746,0.47154322,0,0.37558824,4.483149
156,0,0,0.64972055,1.4549956,0.1662993,0,0,0.88992035,1.6521764,0,0,0,0,0,0,0,0,1.0489712,0,1.8172684,0,0.65773624,0.29638278
157,0,0,0,0,0.2425671,0,0,0,0,0.1814105,0,1.1851999,0.08441657,0,2.9986734,1.2234766,0,0,0,0,10.951501,1.1071464,0
158,0,0,0.5605203,0,0,0,0.4435446,0,0,0,0,0,0,0,2.1999085,0,0.28250903,0,0,0,1.4247711,0,0
159,0,1.2385968,0,0,0,0,0,0,0,0.9946185,0.050147697,0,0,1.059857,0,0,0.25616413,1.336111,0,0.59503627,0,0.03338354,0
160,0,0,1.5510417,0.8461975,0,0,0,0,0.080232896,0,1.6534,2.4784434,0,0.77160746,2.113765,0,0,0,0,4.430441,0.12728739,0,0
161,0,0,0,0.5674023,0,0,0,0,0,0.9651517,0,0,0,0,4.0659704,0,0,0,0,0,5.941663,0,7.6899676
162,0,0,0.46425423,0,0,1.0800483,0.20622239,1.3927269,0,0,0.6407475,0,0,0,0,0,0,0,0,0.11973694,1.0728184,0,0
163,0,0.56802136,1.4168534,0,0,0,0,0.736801,0,2.195939,0,0,1.2370851,1.3398036,0,0,0.553679,0.057006583,10.428736,0,0,0,1.580446
