x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037
88,0,0,2.218216,0,0,0,0,0.7903145,0.38555783,0.2299347,3.2067173,0,0,0,1.2578285,0,0,0,17.429695,0,0,8.059029,0,17.95701,0,0,0,0,0,0,0,1.4676386,0,0,0.011672158,3.7058332,0,0
89,1.9218533,0,0,2.7779903,1.9363021,0,0,0,0,0,0.035887007,0,1.210042,0,0,0.027919374,0,0,0,0,0.5667511,0,0,0,5.2858386,0,0,0,6.5183783,0.33854482,0.8965473,1.619882,0,0,0,0,0,0
90,0,10.158113,0,4.414718,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6631365,0,0,0,11.332426,0,8.594835,3.9503922,2.6167893,0,3.1160855,0,3.6371164,0,0.6828678,1.6997207,1.8452665,0,3.549966,3.8487644,0
91,0,0,0,0,3.5895333,0,0,1.0541214,0,0,0,0,0,0.22197369,0.40417317,0.88180196,2.3669112,5.720569,2.719504,0,0,0,0.6356245,8.004147,0.7090432,9.045536,4.339664,0.06801721,0,0,0,0,3.8945796,1.0323366,0.0544121,0,6.0705476,0
92,0,0,3.389472,9.353901,0,0,7.25366,0.32809088,1.1144978,0,0,3.4773314,0,0,0,4.1617537,5.234161,0,0,0,0,3.4657507,0,4.6701846,0.30869493,1.5269363,3.754108,0,0,0,1.9701235,0.19256794,2.0602245,0.5766267,0,0,6.902035,2.5579064
93,2.344326,8.978883,1.9634376,0,1.7701051,0.3786708,1.8308452,0,3.3279421,0,0.15375434,2.5949614,0,0.00058574,0,1.9994968,0,0,6.049252,0,0,0,1.2617211,0,0,0,0,0,0,0,0.28146556,3.2557456,0,2.7934234,4.7255177,1.7196218,0,0
94,0,4.9546943,0,0,4.675868,0,0,0,2.0620568,0,5.543044,0.24927768,0.09234611,0.3836704,2.966096,0,4.554554,4.2603064,0,5.5555234,8.776783,3.5514488,0,0.5782147,4.98805,0,7.324256,1.3602738,0,3.4666765,0,0,0,0,2.2164686,0.4982225,7.513549,0
95,0,0,0,10.018563,0,0,0,0,2.428525,3.7383566,0,0,0,0.81631684,0,0,0,2.235007,0,0,0,0,2.5098898,18.322166,0.23225912,0,3.2671416,0.1626199,0,0,0,0,0.5779029,0,0,1.9099761,0,8.358283
96,0.2528549,0,0,0,0,1.3120036,3.584214,0,0.98802173,0,0,0,0.570948,0,0,0,0,2.1486306,0,0,6.135517,27.07982,4.6377416,4.4088197,3.2734253,3.3367863,0,0,0,2.1208148,0.54829174,0,0,0,0,0,5.2846246,0
97,0,6.705837,0,4.467649,0,0.3772517,2.385684,0.05814604,2.2548263,0,2.124827,0.2818165,2.0072262,1.0751532,0,2.7014463,0,0,0,1.7103125,0,0,1.1778291,2.0454726,4.779972,0,3.8413363,3.2901313,0,2.2357962,0,3.2059183,0,3.998335,0,2.1241384,0.19167683,2.6717474
