x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033
73,0.8380327,3.8222785,0,0,0,2.3319564,0,8.7079115,0,0,0,0,0,1.2737025,0,0.5486023,0.4594961,9.33385,8.177336,0,0,0,0,2.0796945,0,0,0,0,0,0,0,0,2.7484298,0
74,0,4.2269516,0,1.0483133,0,0,3.091719,0,0,2.3909013,0,0,10.434455,0,0,0,0,0,0,2.9175212,0,1.8124317,2.2530382,2.539008,9.5134735,0,4.6683326,0,5.412048,0,0,1.1508527,0,0
75,0,0,0,0.92055976,7.6316504,0,0,5.47375,0,0,0,3.462794,0,0,0.09680529,1.9978276,0,14.753715,0,0,0,0,3.3198888,0,0,0,1.2005756,0,4.570943,0,0,0,0,2.1982288
76,0.9455373,0,0,0,0,0,0,0,0,0,0,0,12.265011,1.9747306,0,0,4.874569,4.7477465,0,4.850989,6.0394254,0,4.861706,0,17.440262,0,0,0,2.3537097,0,0,0,3.6340995,0.78299385
77,1.9829327,2.903897,4.5671005,0,0.7108882,3.0574226,0,0,9.883168,1.0670693,0,0,0,0,2.1962311,0,0,0,0,5.8927116,0,0,0,0,0,1.2008076,2.6866512,5.7042475,3.3074794,0,3.3870218,0,0,0
78,0,0,0.6268568,0,0,4.200464,0.32876328,0,0,0,0,5.4551525,0,0,0,2.193443,0,0,0.23548114,0,0,13.666945,0,0,4.484167,0,0,0,0,0,2.4125688,1.2085127,0,1.0902869
79,6.652931,0,0,0,20.941547,2.4594445,0,0,7.7174416,0,1.5204647,0,0,0,8.226526,1.3391933,0,0,0,8.823695,0,0,0,0,0,0,0,0,0,0,3.8055415,2.1395462,0,0
80,1.9324704,0,0,0.15667047,0,5.724051,0,0,0.85208696,0,0,0,0,0,2.097122,0.52454305,0,0,0,0,0,0,0,0,0,4.4567547,0,0,0,0,0,0,0,0
81,0,0,0,1.6870472,0,0,0,0,10.16716,1.2220081,0,0,0,2.5340483,0,0,0,0,13.649931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6929536
82,2.2675014,0,0,0,3.769826,2.5413055,0,0,7.6455097,0,0.08185558,0,0,1.6397333,7.3537264,2.140856,3.4499447,0,0,0,0,0,0,0.9332812,0,0,0,0,0,0,0,0,0,0
83,0.7050413,0,0,0,0,7.6569085,0,0,4.6701283,0,0.66749996,1.8178099,0,0,8.228594,0,0,0,0,0,0,0,0,0,0,0,0,5.7616954,0,0,7.6530495,0,0,0
84,9.497644,0,2.906311,0,3.4773636,1.2351732,0,0,8.219553,5.8746467,0,0,0,0.66085917,1.3921853,0,0.75817657,0,3.3468301,4.4282565,0,0,0,0,0,2.3759425,0,0,0,0,2.6782439,0,2.935147,0.61633885
85,0,0,4.5368333,0,0,2.809271,0,1.3177165,4.0022683,0,0.5300393,0,5.566035,2.5000293,1.7822092,0,0,0,0.42098027,0,4.5677695,0,0,2.6270726,0,2.563874,0,0,0,2.4625337,0,2.2630656,0,0
86,0,3.7100005,0,0,3.5471091,0,1.4978561,0,5.0992374,0,0,0.5673809,2.346562,0.10391538,5.457002,0,0,3.948168,5.686411,0.36629245,0,0,0,0,1.5841223,6.8790226,0,0,0,0,8.840206,0,1.9366522,0
87,0.23935752,1.5043688,0,0,0,1.8001221,0,2.248123,0,0,2.115666,0.92012435,0,0,0,0,0,0,0,0,2.4025385,0,0.33614546,0,0,0,0,0,0,0,2.520497,0,0,4.0483108
88,1.3266561,0,2.6166437,0,0,3.6782713,0,0,10.198155,8.675156,0,0,0,2.670581,3.405909,3.6261783,0,0,5.9998465,26.59368,0,0,0,0,0,1.6664339,0,0.62452483,2.6549523,1.0707775,2.9465687,0.5530335,0,0
89,0,0,0.43914497,0,5.6848536,4.2007637,0,0,2.6899562,0,0,0,0,0,0,0,0,4.3123326,8.07814,0,0,7.209893,0,0,0,1.7471695,0,1.4789977,0.6790734,0.17655951,0,3.4300673,0,0
90,0.717112,0,0,0,7.6494145,0,0.31714502,0,0,0,3.100465,0,6.8619843,1.5970758,4.1546793,0,0,2.1397934,0,18.23136,0,0,0,0.8592345,14.192763,11.13264,0.87811697,0,0,0,0,0,0,0
91,0,0,1.1474886,0.97954065,0.38708064,2.9655805,1.6274953,0,2.3486848,0.8515043,0,0,0,0,0,0,1.7520611,8.924372,0.4023077,0,18.555891,7.2997346,1.5035659,0,3.1744895,0.7318093,0,0,0.9726984,1.4888736,0,0,2.8296397,0
92,3.6877017,1.7020824,0,0,0,2.509657,0,0,4.741835,2.484222,0,3.5560625,0,6.1681986,0,1.969965,0,8.058952,10.842291,0,0,7.890584,0,0,0,0,0.91298866,0,0,0,0,0,0,0
93,0,0.5398559,0,0,0,0.87785095,1.1451474,0,0,1.5573208,0,0.15679082,0,1.3455436,0,0,0,0,6.8516936,0,0,0,0,1.1331295,9.728026,3.4191506,4.8364463,1.9821525,0,0,0,0,1.8834555,0
94,0,0,0,0,0.51054657,0,0,15.077407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2835467,0,0,1.3380684,0,0,0,0
95,0,0,0.33278337,0,0,0,0,5.8845353,0,2.0626695,0.33758005,0,0,0,0,0,1.1694077,0,1.2807946,6.3976693,0,0,0,0,0,0,1.1174654,1.0697994,5.726945,1.3575982,0,0,0,1.0288874
