x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031
416,2.5056868,0.8289156,0,0,0,1.3186893,0,0,0.8939637,4.3307395,0,0,0,0,0,0,1.5353544,0,0,0,0,0,0,0,0.819471,0,1.1378624,0,0,0,6.1116104,0
417,0.27221805,0,0,0,0,1.4716802,0,0,0,0,2.6475143,1.2535504,0,0,0,0,0.7042173,0,0,3.7388248,0,3.4962199,0,0,0,2.175551,0,0,5.2902627,3.1270776,0,0
418,0,0,2.6554003,2.120644,2.3533533,1.825291,0,4.096922,0,0,0,0,0,0,2.1338925,0,2.3952196,0.03338714,2.304495,0,8.062758,0,0.063872695,4.696925,2.359842,4.9253464,1.48909,0.41758832,0,0.5049608,1.512029,0
419,0,0,0,0,0,0,0,3.1983457,1.6147919,5.8550487,2.9270484,3.8715498,0,0.17327435,0,1.539888,0,0,0,0,0,6.4006085,0,0,2.512879,3.9533613,0.12597914,0,0,3.017232,0,0
420,0,0,0,1.1679497,0,1.6743777,0,2.0552459,0,0,1.5226272,0,0,2.5430543,0.80634403,0,10.801743,0,0.49622193,5.3007526,0,4.9723215,0,0,0.43270245,0,2.1247852,0.3414926,0.26169497,3.1549575,1.3659415,1.8293248
421,0,0.270558,0.4471171,0,0,6.427437,0,0,0.99251205,0.3084158,0,3.4438205,1.0811328,2.5563548,0.084203914,3.5573165,0,0,0,1.8537457,0,0,0,4.3791113,1.5876312,0,0,0,1.7000272,0.95586365,4.152169,2.7406206
422,4.9938607,2.319038,0,15.084633,4.6706305,0.8171014,0,3.105982,3.5304947,0,0,1.018967,0,0,0,8.1916485,0,5.7314353,1.8260316,0,0,0.010080662,1.4255725,2.9579906,0,0,0,0,0,0,3.977505,3.1864734
423,0,0,0,0,2.1076176,4.437531,0,0,3.2973273,0,0,3.6871133,0,0,2.503689,0,3.1654735,0,0.68244344,0,0,3.478182,0.045866102,0,0,0,3.9138603,1.101288,0.26202112,3.1224632,0,0
424,0,0,0.5122927,6.635937,0,0,0,7.8809943,0,1.1717991,0,0,0,0,0,0,0,3.0634646,0,0,0,6.0681725,0,0.91410136,0,0,1.6827707,0,0,0.17453574,2.499794,0
425,0,1.6222317,0.9437726,0,0,2.892777,0.6006003,0,2.614605,0.3291239,4.105512,5.0545526,0.7187578,0,3.30059,0.7078908,0,0,0,0,0,0,0,5.085441,0,5.974692,1.1226994,2.6522305,0,0,1.5294857,2.7904365
