x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052
1036,0,0,2.4438846,0,22.810999,0,1.2183129,0,0,0,5.57213,0.14745288,11.531158,0,0.30520827,1.7943004,8.78169,2.6371217,0,0,0.63072264,0,0,0,0,0,1.7530981,0.8231239,0,7.8675847,2.4464343,0,0,0,0,0,0,0,0,0,0,0,2.868851,0,1.2251766,0,0.6790347,2.031378,0,0,1.0291868,2.8262722,0
1037,0.27729523,0,0,0,6.223216,0,0,0.6645265,10.016185,0.6741552,0,8.358202,0,10.538406,3.604645,0,0,0,1.3456011,0,0.61711466,0,0,0,0,0,0,0,0,0,0,0,2.747599,2.5740175,0,0.24914394,0,0,0,0,6.009506,1.5597922,1.7165476,6.655403,0,0,4.0663276,2.646428,1.1680609,0,0,1.986248,0
1038,0,0.20550284,0,0,0,5.7985444,7.212315,0,0,0,0,0,0,0,4.85766,2.9763992,0.82463944,1.2468408,0,1.2177753,0.23581323,0,0,0,0,0,0,6.8081646,0,0,0,0,0,1.5155457,0,0,0,0,1.7063015,0,2.914859,0,0,0,0.6939512,0.3252797,4.05094,0,9.133434,4.0296016,1.6395985,4.833091,7.031136
1039,0,0,0,7.7987747,0.9618844,0.15325534,0,3.1025422,0,0,1.4378285,0,5.1350474,0,3.9386563,0,6.473676,2.3615546,8.332492,1.2777728,0.9337305,3.065777,0,8.209424,0,0,0,0,8.385674,0,4.023349,1.4268051,0,0,4.3819113,1.390359,7.5587926,8.519417,0,0.7089868,0,0,0,0,0,0,5.2708793,0.12911163,0.7616196,0,0,0,2.7959704
1040,2.4138975,0,3.6445732,0.13420305,0,0,0,0,0.84298074,0,0,0,2.0722919,0.10586288,0,0,0,1.5324678,0,0,0,0,0,3.1417456,0,0,0,0,0,3.0578697,0,0,0.16254221,0,0,0,1.79632,4.59593,0,1.2796923,0,1.7052265,0,0,0,0.056099102,0.9929191,0,0,7.9127603,0,0.8460374,0
1041,2.9977365,0,0,0,0,0,0,0.12944871,0,0.15135378,0,6.761492,0,8.08877,0,8.657003,0,0,0,0,0,0,4.06813,0,0.40010923,11.48308,0,9.655192,0,0,0,0,0.95567495,2.3138025,0,0,0,0,0,0,0,0.33539304,3.805383,10.970849,0,0,0,0,0,0,0,0,0
1042,1.374573,0,0,1.6700485,0,0,0,0,0,0,0,0,0,0,7.2850647,0,0,0,0,0.5334462,0,0,0,0,2.8288953,0.3056561,1.288952,0,4.1677494,2.5874507,3.111116,0,0.76212776,1.3744534,1.1749154,1.3807994,0,0,0.12500376,2.367513,1.9963442,0,1.391307,2.2452004,0,0,0,0,0,7.818021,0.6920675,0,0
1043,0,0.41985372,0,0,41.1839,1.0426878,0,0,0,0.50097305,0,0,0,0.24808958,0,0,0,0,0,0,0.15964462,0,0,8.858125,0.31418395,0,0,5.174099,0,0,0,0,0,0,0,1.0606298,1.1519529,2.062091,0.3830031,0,0,0,6.4474425,0,0,1.8584316,0,0,0,0,5.001227,0,12.814987
1044,2.164692,0,0,0,0,0.9355152,0,0,2.3276758,0,0,0,0.78027874,0,0,0.36585543,0,10.524907,2.3689034,0,1.1033659,0,0,0,0,0,11.506904,0,0,0,0.15461764,1.0425923,0.9978965,0,0,0,4.6505322,0,0,0,1.424273,0,0,3.3230634,1.5978948,0,5.485783,1.8367276,0,0,0,0,9.656715
1045,0,0.12692164,0,0,0,0.40945756,2.6032138,2.1933596,0,0.13959849,2.1258357,2.4514222,0,0.93688285,1.0791296,0,0,0,2.5336072,0,0.71335787,1.0757701,0,0.37612996,0,0,0,0,1.263865,0,5.1852593,1.7447085,0,0,0,0.51873285,0,3.2556903,0,1.4301192,0,0.5752711,1.2250956,0,0,0,4.4758224,0.56865644,0,0,0,0,0
