x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028
513,0,0,0,2.9672594,0,2.6276367,5.6372805,0,0.822097,0,0,0.06378824,0,0,0,3.3202481,2.0293977,0.054375883,0,0.99564534,0.9948454,0,0,0,0,0.6716511,0,0.94698465,0
514,1.7844602,0,0,0,0,0,0,2.8972776,1.6768638,0,0,5.602792,0,0,0,2.377837,0,0.95982504,0,0,0,0,0,4.137432,0,0,1.0453765,0.54341435,0
515,0,0,0.5169785,0,0,0.09902422,0,0.1907611,0.9686608,0,0,0.6058733,0,0,3.0321531,0,0,0,0,0,0,0,0,0,0,0,1.1012291,0,0.56443983
516,0,0,0,0,0,1.3161349,4.9122143,0,0,0,0,0,0,0.25609925,0.71204776,0,0,0,0,0.502123,0,0.9428433,0,0,0.019598003,0,0,0,0
517,0,1.6018511,0.8115672,0,0,0.90271205,0,0,0,0,0.13098666,0.47628054,0.95750123,0.12453253,0,1.321614,0,0.03451642,0,1.2057829,0,0,1.4774073,0,0,0,0,0,0
518,0,0,0,0.76716936,1.1253816,0.35020995,0,0,0,0,1.1505146,0,1.0143526,0,0,0,0.96989095,0,0,0,0.16438499,2.5434918,0,0,0,1.6231108,0,0,1.0258844
519,0,1.33755,0,0,0.20058545,0,0,0.41047743,0,0.27196482,0,2.7901595,0,0.23577735,0.6114679,0,0.30675757,0,5.65065,0,0,1.3553554,0,0,1.982176,0,0,0.5346894,0
520,0,0,0,0,0,0,3.0123549,0,0,0,0,0,0.34181446,0.77275026,0,0,0,0,0,0,3.5123193,3.535781,0,2.8397698,0,0,0,0,0.082034886
521,0.04377727,0.20787776,0,0,0,0.44046766,1.1646441,0,0,0,0,0,0,0,2.0890808,0,0,0,0,0,1.0331738,0,0.994087,0,2.3882806,0,0.07283252,0.08933928,0
522,0.17046137,0,1.272095,0,0,0.8989858,0,0.41651037,0,0.74733526,0,1.011521,0,0,2.4208448,0,0,0,6.308432,0.4368115,0,0,0,0,1.2747307,2.1442046,0,0,0
523,0.24681862,0.28969306,1.0981865,0.37030715,0,0,0,0.24781919,2.3565063,1.1389675,0,0,0,0.7225703,0,0,0.31208667,1.5375397,1.8554106,0,3.0226543,0,0,0,0,0,0,0.52187073,0
524,0.3047877,0,0,0.8302337,0,0,0,0,0,0.2262601,1.3465124,0,0,0,0,0.9024076,0,0,0,0,0,0.27688447,0,0.45584053,0.5512007,1.4073665,1.1213108,0,0
525,0,0,0,0,0,0,0.8625317,0,0,0,0.34040588,1.5832509,2.0278971,1.1355845,5.530881,0,1.3368717,0,0,0,0,0.014153513,0,1.0638524,0,1.0759387,0.6640509,0.44073287,0
526,0,0.21672617,0.120935306,0,0,0,2.0198078,0.2408123,0,0,0,0,0,0,0,0.8111297,1.7612277,0,0,0,1.6617441,0.35165748,0,0.79280597,0.118634775,0,0.7105203,1.0561318,0
527,0,0,0.85708237,0,0.22080635,0,0.72853184,1.1155701,0,0,0,0,1.4860342,1.9869243,0,0,0,0,1.5444958,0.79437345,0,0,2.2725365,0,0.42622918,0,0,0,0.5451828
