x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034
672,5.441117,0,0,10.736921,0,1.5247908,6.365507,7.5584335,20.64724,7.2557983,2.3645194,0.8803891,0,0,0,0,0.13199551,0,0,3.092465,1.1223092,0,0,1.1068542,0.4092784,10.458064,0,1.1213324,0.32590705,0,0,0,0,0,3.882351
673,0.51894414,0.7715391,1.879637,17.943207,0,0,7.288851,0,0,0,0,1.1294624,0,0,1.7036211,0,0,0,0.66509503,0.43351892,2.1552272,0.26845458,4.383848,0,0,8.154655,0,3.181767,0,0,0,0,0,0,4.1912265
674,0,1.933301,0,0,5.2455525,0.13544066,0,5.188,0,4.6620054,3.8091862,0,0,0,1.963068,4.1172214,0,0,0,0,2.131485,0,3.5680087,8.656095,0,1.9387304,0.9887011,0,0,2.1379988,1.53826,0.25363877,5.2528696,0,6.5256553
675,0.083098,0,0,0,0,0,0,4.2586193,0,5.613224,0.32932633,0,0,0.48043367,8.349344,2.3769677,0,0,1.7600406,0,0,0,0.6476585,0,15.617752,0,0,2.637744,0,0,0,0,0,0.54347384,3.9479167
676,0,0,0,0,1.9616413,1.0309542,0,0,0,0,0,0,0,0,0,0,0,0.44539106,0,0,2.2093878,0,0,10.413569,0,0,0,0,0,0.35612866,0.58980423,3.7300637,0,6.065429,0
677,0,0,5.2413235,0,0,0,0,0,0,0,0,0,8.567451,7.1480765,0,0,1.7784609,6.1383657,7.580226,0,0,0,0,4.117497,13.511856,0,0,1.3053435,0,3.5792632,0,0,0,0,10.22889
678,0,0,0.77374774,0,0,0,0,0,0,0,0,0,0,0,0,5.937515,0,0,4.4644213,0,0,0,0,0,11.160909,0,0,0,0,5.8387585,0,2.9012802,0,1.0103443,0
679,0,0,12.36219,0,0,0,0,0,0,0,0,0,2.6778889,6.0881147,0,1.1855047,0,2.5107274,5.6687226,0,0,0,0,1.1663924,7.7049537,0,0,0,0,0,0,0,0,3.3918965,0
680,0,0,0,0,1.318077,0,0,22.129627,9.168355,0.65593284,6.9180517,0.09563792,0,0,0,0,0,6.5320926,6.8968124,2.8586814,0,0.6350354,0,0,6.844999,0,0,0,0,5.370617,0,2.7112362,0,7.8594656,0
681,0,0,0.996688,0,0,0,0,0,0,0,0,0,1.0921016,3.8530831,0,0,0,0,6.388009,0,0,0,0,6.928997,0,12.424552,0.43877614,0,0,0,0.61231804,0,0,0,0
682,0,1.6651288,10.416568,0,0,0,0,0,0,0,0,0,0.9088374,1.0553635,0,0,0,0,9.136722,0,0,0,0,0,9.836259,0,0,0,0,0,0,2.0405443,3.1057498,3.4171362,0
683,0,0,0,10.910546,0,0,0,0.8262987,0,0,8.359948,0.11234882,3.284662,0.24107057,0,0,1.5104473,4.468468,5.187911,0,0,7.5418053,3.8771834,0,0,0,1.4435772,0,0,0.80086386,5.414667,0.18225187,0,0,0
684,0,0,1.2294669,13.74091,0.23976971,7.8239746,3.6144285,0,0,0,3.6757658,0,0.30254117,0,0.2886223,0,0,0,0,0,0,0,0,4.6043725,0,0,0,0,3.6339047,2.480607,0,0.014188856,0.34201953,0,0
685,3.6894107,4.742419,0,0,0,0,0.36331564,0,0,0,0,0,0,0,0,0,0,0,0.9784362,0,0,0.7031485,0,0,0,0,0,0,0.17359641,0.42928454,0,0,0.9003798,0,12.388295
686,6.002892,3.8715675,2.4358988,10.270398,3.226116,3.7664554,9.262652,0,23.877708,2.9807928,24.882332,22.028618,0,0,9.691939,14.237602,1.0878266,0,0,8.178099,3.7353475,10.195303,8.253394,4.263728,0,13.155462,0,2.2499707,1.5309994,0,5.1187353,1.4097131,0,1.221587,5.434574
687,4.1303744,0,0,0,1.6322381,2.8446946,0,22.118952,18.224602,13.9879465,0,3.073013,0,0,9.520716,1.3602302,1.2140895,0,0,0,0,5.566291,0,0,0,7.2449102,0,2.020556,0.11099665,0.41203138,0,2.1714242,3.803851,0,3.527818
688,2.8125877,0,0,7.374421,0,0,0,0,0.14453477,1.713301,13.017845,0,0.919138,0,1.410003,0,0,0.24848846,0,0,0,5.3571153,3.2969184,0,0,0,2.8855247,0.5025278,0.8684043,0,2.582649,0,0,0,0
689,2.8928623,0,0.6905565,5.359835,0,0.47947276,0,5.9439745,24.265875,8.069052,6.235027,9.347108,0,2.1875677,1.1507653,0,0.10239194,0.5997781,0,6.2945642,0,1.6852182,14.547369,0,0,28.149767,1.322363,0,0,0,0,0,1.572198,0,0
690,0,5.195493,0,3.7273965,1.6432519,2.6176417,2.0693226,10.008647,3.9751875,9.892759,0,2.3572748,0,0,0,0,0,4.058612,1.7492124,1.8250256,1.5568945,3.6331294,0,2.0040605,5.1770253,7.272497,0,0,5.580182,4.1875753,3.602885,0,0.7365418,0,3.1494675
691,3.7222822,0,0,0,0,0,0,0,12.483854,0,13.287516,0,0.482852,2.6539664,0,0,9.73E-05,0,0.23710915,4.1228704,0,1.2402588,0.028159158,0,4.247742,3.5360808,0,0.24849306,0,0.4371942,0,2.0301707,0,0,0
692,7.9380226,0,11.860645,0,0,0,0,0,0,3.3479834,0,6.768767,0,0,0,2.3010106,1.1809843,4.759751,6.197697,4.341425,0,0,0,3.8486257,0,4.935975,1.1695274,0,0,0,0,0,1.5421354,1.9160546,0
693,0,1.6348202,0.48970997,0,0,0,0,0,0,4.4731913,0,0,0.54370505,0,6.539024,2.4998982,0,0,0.52086973,0,0,5.642348,4.555515,0,0,2.4184413,0.7637712,0,0,5.2389655,0,0.53403306,0,4.4322066,0
694,0,1.1437505,1.2008078,0,0,0.42719665,0,5.9583826,4.802505,0,0,0,0.41823283,1.0741527,0,8.702228,0,1.8828568,0.13386904,0,0,0,0,6.950878,1.0791444,0,0,0,0,3.6700902,0,2.2394867,0,6.457022,0
695,0,4.0527334,1.4364572,1.8191423,1.5345435,0,0,0,0,0,0,0,6.242095,0,0,5.3365483,1.0130283,1.1536137,2.740326,0.36155087,0,0,0,0,3.4425564,0,0,0,0,0,7.1565914,2.9844868,0,0,0
696,0,0,9.041773,0,0,1.8509487,0,0,0,0,0,0,1.3352436,3.7906036,0,0,0,2.6844788,6.3111124,0,0.4329088,0,0,0,5.668301,0,0.039066877,0,0,1.1157613,0,0.29547226,1.545745,0,0
697,0,0,4.2739105,0,2.4094284,0,0,0,0,5.9422035,0,0,8.341547,2.1087694,0,0,0.45288432,4.7031703,7.772092,0,0,0,0,0,6.5210505,0,0,0,0,1.0252064,0,1.3092235,0.7761607,4.0196404,0
698,0,0,0,0,0,0,0,0,0,0,0,0,6.7039595,5.5612,0,0,0,3.5747097,0,0,1.18539,0,3.6683698,0,2.2240067,0,0,0,0,2.3018434,0,0,0,1.3343489,8.760637
699,0,0,0,4.65814,0,1.7981362,5.109992,1.8632965,0,0,0,0,0,0,0,0,0,1.7323568,6.579181,0,0,0,0,3.5807629,0,13.929863,0,3.014937,0,0,0,0,2.1232173,0,5.573859
700,3.9825802,6.5590014,0,8.432825,0,0,4.0957813,0,0,16.988482,0,3.0049117,0,0,0,1.3587886,1.2011908,0,0,5.0041375,0,8.437246,10.640591,3.7662497,0,0,0,1.9540732,2.1974876,0,0,0,0,1.7026552,0
701,5.478486,0,0,0,0,0,0,5.8123617,9.209588,5.740644,0,0,0,0,6.3575583,0,0,0.8930584,0,0,1.3816291,7.712296,9.317845,0,0,0,0,0.58958715,3.6175714,5.260102,2.5897057,4.01305,0.24005169,0,0
702,1.2099396,3.4305885,2.8794928,1.2939658,1.2334384,0,0.59451115,0,3.266425,10.472028,15.974531,6.6005545,0,0,0,0,0,0,0,0,0,0,5.139729,0.15185592,0,1.2880437,0,0,0,0,0,0,0,0.08231743,12.104111
