x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053
240,0,0,0,0,8.82512,0,2.8009827,2.8182542,1.9173796,0,0,0,0,0,0,1.2952757,0,0.23224051,0,0,0,0,5.4816732,1.2817185,0,0,0,2.1338599,1.4773482,0,0,0,0,3.2012763,6.2089205,0,7.3508916,0.06432577,13.312332,0,0,0,4.925692,3.0368533,9.517,11.841732,0,0,10.068676,1.0556232,0,0,1.4574802,0.6974915
241,0,0,0.39143434,2.7211137,0.45242307,0,4.122008,0,0.9983159,0.28945124,0,0,0,0,0,0,0,0,0,0,0,0,2.2750108,5.5357957,0.0238049,0,0,3.1213605,5.3211436,0,0.95879865,16.191442,0,42.14651,8.647175,0,4.0738087,3.2579844,5.3090515,0,0,0,0,0,1.2091689,1.4711801,0,4.892392,0,3.2356853,0,4.0317936,0,0
242,2.068935,0,0,0,1.9598408,0,0,0,0,0,0,10.1234665,1.9616851,3.8739014,11.208861,4.6268086,0,0.61076987,0,0,0,9.480442,3.7952018,2.2398763,0.87166905,0,0,1.2467545,0.5919928,0,0,0,1.9487056,29.45499,16.808578,0,4.181274,2.3138905,0,0,5.661886,1.6760675,11.087575,0.6556405,0.99474555,4.932772,0,0,15.409346,1.3763921,0,2.9330995,0,4.811094
243,0.92717284,2.706692,0,0,5.4793506,0,1.9620258,0.84843266,3.3069239,0,0,0,0.34075055,0,12.015687,0.83997726,0,0,0.98551315,0.698131,0,0,0,0,0,0,0,2.5652976,5.0434346,0,0,5.120803,0,0,0,5.707084,13.951809,2.0508413,12.840307,0,0,0,0,1.0402975,4.9925723,0,0,0,0,3.220157,0,0,0.531588,0.18091449
244,0,0,0.35253435,7.4982257,2.1206276,0,0.19592826,6.728579,0,1.2061772,1.6480767,0,0,0,0,1.5172398,0.87005615,0,0,1.1919335,0,0,0,0.6160158,0,0,0,0,0.82213837,7.2611184,2.4802868,0,0,4.7387395,23.293325,1.0758443,7.560163,0,0,0,0,0,0,0.25564826,0,0,7.6880317,8.887863,0,0,9.196187,0,10.213135,0
245,8.321936,0,3.7910671,0,0,1.9489427,0,0,0.430297,0,7.0723734,2.663572,4.8568144,7.4037375,0.2609933,0,1.7040268,3.210455,0.9219517,3.6126494,17.194906,24.145533,4.5843563,0,6.550678,7.578046,1.1016011,0,0,11.553871,4.4193745,0,1.1887308,34.57329,8.57609,0,0,0,0,20.574642,3.1746974,5.350042,0,0,0,0,0,4.458569,0,0,0,6.571973,0,3.1038127
246,1.5452942,4.187038,9.88526,0,0,6.4599423,0,0,0.89292705,8.328089,4.082026,0,0,0,12.883038,0,3.166253,0,2.3410168,10.642094,11.584311,14.293667,4.79352,0,0,3.0026934,9.594465,0,2.9207683,10.384679,4.1100936,1.5453942,3.5659575,0,20.317303,0,0,0,0,14.773289,6.9494324,3.6096818,0,0,0,0,2.1482534,26.074593,0,0,7.1023026,0,11.262687,0
247,0,0,0,0,0,3.4125643,0,0,4.231964,0,3.303562,16.264545,5.6968555,2.6461332,2.092219,0,4.275685,0,0,3.0926263,6.9680605,6.9330773,0.38330743,3.0915058,1.9609127,2.6960273,6.3609405,0,0,9.184746,0,0,3.3010285,0,29.961504,0,0,0,0,24.250273,7.0611787,5.257449,0,0,0,0,5.35275,19.743542,0,0,3.8711653,0,6.8262334,0
248,0,0,0,0,0,0,2.2128756,0.24181473,0,2.2934263,0,4.0146213,5.1051226,7.147336,11.84544,0.9973068,3.5544796,1.1316805,1.915567,2.0826375,2.4044576,8.546641,0,2.6985416,2.630184,6.4870768,2.8395183,0,0.7341092,11.425552,3.1082973,8.097214,0,14.09982,0,0,0,0,0,6.186288,5.9608736,2.8351343,0,0,0,0,3.4799597,0,0,0,2.7219534,0,5.301149,0
249,2.601767,6.296357,0,0,3.6506495,1.7188245,0,0,0,0,0,23.185678,4.0699663,0,14.63013,1.5577159,0,0,0,0,0,0,3.3835614,0,4.1831403,0,0,0.28859204,1.1726332,7.457096,0,0,0,0,0,0,0.60510707,3.2405128,0.16996688,0,0,0,0,0,3.324748,0,4.413822,7.185517,0,2.6773193,1.2060297,3.2074685,0,0
