x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0023,y0024,y0025,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0038,y0040,y0042,y0043,y0045,y0046,y0047,y0048,y0050
346,0.96285504,0,6.976515,1.9458942,0,0,0.22060491,0,0,0,2.9646766,0,0,0.5091358,0,0,3.5279639,0,2.2177627,4.2730722,0,0,0.7852614,0,0.08200841,0,0,0,0,0,0,0,0,0,0,3.7752588,7.102961,0,0,2.333336,0,0
347,0.12945381,0,0,0.5684247,0,1.3095081,0,0,0,0,0,0,0,0,2.3660636,0,0,0,5.561107,0,0,0,0,0,0,0,0,5.1852107,0,0.7409892,0,0,3.913529,0,0,0.22423728,11.148266,1.2581437,2.3125334,0,2.7143323,2.090138
348,0,4.580179,1.731295,0,0,0,0,2.9186285,0,4.209464,1.9595996,5.747869,5.768336,5.168159,0,0.84878767,0.45863995,0,0,0,0.2893773,0,2.076906,0,0,5.92092,7.6178613,0,4.456823,0,1.9399146,0,0,0,5.1052475,4.195198,8.651835,0,0.085878335,0,0,0
349,0.30787876,0,0,0,0,0,0.18809134,1.2772872,3.3708208,7.0967793,0,0,0,0,3.5472326,0.8307195,0.5506035,0,0,0.7267612,8.429472,0,0,1.3802452,0,0,0,3.3282394,0,0,0.9782385,0,4.279876,0,4.205299,0,1.7275505,0,0,0,0,5.864857
350,0,0,0,0.63353,0,1.3583142,0,0.5060012,0,1.348393,0,0,0,0,0,0,0,0,0,0.5566048,8.968217,2.0840056,1.6689137,0,0,2.519528,2.9261248,0.9775289,3.6991446,0,1.0076919,0.96531373,0,3.6227171,0,0.7234007,0,0,4.412365,0,0,0
351,3.509033,10.936819,0,0,0,0,0.15733054,1.6405882,0,0,0,0,0,2.9547668,0,0,0,0,0,0,0,0,0,4.9984164,2.4771864,0,8.518202,0,4.4909883,0,0.21424687,3.2112598,0,3.3431675,1.0577936,0.5812218,4.3003845,0,0,0,0,1.6947477
352,0,0,0,0,1.575002,1.3804619,0,0,0,2.0953007,2.6648889,0,0,0,0.58752245,3.139504,0,0.12578665,1.7488674,0,0,0,0,0,0,0,0,0.5305606,0,0,1.5150106,0,0,1.3397405,0.19046226,0,7.7371554,0,0,1.077502,1.4860934,0
353,0,5.7147164,0,0.13060701,0,0,0,1.4004216,0,0,0,0,0,0,5.796243,0,0,0,0,2.4472136,0,0,0,2.720194,1.4449177,3.7099912,0.78254884,0,1.3700241,4.789428,0.83754367,0,0,0,0,0,0,3.7882164,1.1368909,0,0,0
354,0,0,14.301821,3.553223,0.02886471,0,0,0,0,2.629978,3.651792,0,0.60314995,0,0,0.85271657,9.3459015,0,0,0,0,0,0.24488598,0,0,2.3694003,0,2.859756,0,2.1803336,1.0267953,0,3.178084,0.00676887,0,0,19.655907,0,0.25293207,0,0.76303923,2.4673564
355,0,0,0,1.1660001,0.059897162,0,0,0,0,0,2.1847396,0,0,0,0.9883566,1.8008847,0,0,0,0,0,0,2.037248,0,0,0,0,0,0.16006827,0,2.4497733,0,7.915458,0,0,0,0,3.294846,0.9579568,3.3908703,3.2523525,0
